Financial Analysis
----------------------------
Total Months: 86
Total: $22564198
Average Change: $-8311.11
Greatest Increase in Profits: Aug-16 ($1862002)
Greatest Decrease in Profits: Feb-14 ($-1825558)

Months	Profit/Loss Changes
Feb-10	-1443517
Mar-10	631156
Apr-10	-1004755
May-10	1581126
Jun-10	-289272
Jul-10	-1098929
Aug-10	1167557
Sep-10	-806093
Oct-10	1124485
Nov-10	-1736491
Dec-10	-408383
Jan-11	604557
Feb-11	-294345
Mar-11	1327485
Apr-11	394323
May-11	243585
Jun-11	-617439
Jul-11	-1530577
Aug-11	1390390
Sep-11	-1130397
Oct-11	1293604
Nov-11	641758
Dec-11	-337413
Jan-12	-52031
Feb-12	-937192
Mar-12	863841
Apr-12	-76245
May-12	-100481
Jun-12	-960729
Jul-12	591856
Aug-12	54930
Sep-12	680102
Oct-12	-250254
Nov-12	-840415
Dec-12	582358
Jan-13	-48628
Feb-13	-135256
Mar-13	978586
Apr-13	-599210
May-13	-442789
Jun-13	652924
Jul-13	-1005714
Aug-13	1167373
Sep-13	-234900
Oct-13	-165147
Nov-13	-52275
Dec-13	-302320
Jan-14	719028
Feb-14	-1825558
Mar-14	1287083
Apr-14	-48303
May-14	210234
Jun-14	-236414
Jul-14	585165
Aug-14	-1400632
Sep-14	839777
Oct-14	465229
Nov-14	317811
Dec-14	-760202
Jan-15	-71868
Feb-15	795457
Mar-15	-182685
Apr-15	-1242836
May-15	1371884
Jun-15	-445193
Jul-15	10025
Aug-15	-1043998
Sep-15	1350395
Oct-15	80538
Nov-15	-1223250
Dec-15	104148
Jan-16	843924
Feb-16	-1808664
Mar-16	1505005
Apr-16	306402
May-16	-143603
Jun-16	-1266937
Jul-16	-162519
Aug-16	1862002
Sep-16	-52986
Oct-16	-1627245
Nov-16	616795
Dec-16	628522
Jan-17	90895
Feb-17	-224669
